,Abusive Words
0,ටෞකනවා
1,තෝ
2,ගෑනියෙක්
3,බිජ්ජට
4,හරකා
5,මී
6,හරකා
7,ගොන්
8,ජෝක්
9,පු
10,පලාගන්න
11,පරට්ටි
12,උඹේ
13,ගොන්
14,පකෝ
15,බැල්ලි
16,ගුද
17,මාර්ගෙනම්
18,පලනවා
19,පයිය
20,පොන්න
21,නායකයෝ
22,අන්තවාදී
23,බල්ලොන්ට
24,පුක
25,පකෝ
26,නොදකින්
27,අමු
28,ගොබ්බයි
29,අන්තවාදීන්ට
30,නරින්ගේ
31,පලයං
32,පකෝ
33,තොපි
34,රෙද්දක්ද
35,පාහරයිද
36,නොදකින්
37,පොන්න
38,පකෙක්
39,මීහරකා
40,බිජ්ජ
41,හුජ්ජ
42,කැත
43,ඌකාපන්
44,බැල්ලි
45,නාකි
46,හෙන
47,චාටර්
48,තෝ
49,පපයා
50,කාලකණ්ණි
51,මෝඩයා
52,මෝඩ
53,මොංගල්
54,පර
55,සක්කිලි
56,හැත්ත
57,තොපිට
58,පලයන්
59,හරකා
60,ගොන්නු
61,පුක
62,හුජ්ජ
63,කාලකන්නියෙක්
64,මු
65,කුප්පි
66,රෙද්ද
67,කාලකන්නි
68,සක්කිලි
69,වේස
70,බල්ලො
71,සුනඛයෙක්
72,සක්කිලි
73,බල්ලො
74,පයිය
75,සිකේ
76,උඹේ
77,උඹ
78,ගොන්
79,වේසි
80,වේසි
81,හුකන්නෝ
82,පුක
83,දීගෙන
84,හැමිනෙන්නේ
85,තොපේ
86,අම්මගේ
87,රෙද්ද
88,ගොන්
89,පකයො
90,පයියට
91,පයිය
92,තො
93,කාලකන්නි
94,කාලකන්නියා
95,සක්කිලි
96,පකෝමේ
97,තොපිට
98,තෝ
99,ජංගියේ
100,චූ
101,හුජ්ජ
102,පොන්නයද
103,පුකේ
104,පයිය
105,ගොන්ද
106,නොදකින්
107,තෝපි
108,බිජ්ජ
109,ලගින්ම
110,සාප
111,මරි
112,මෝඩ
113,තොපිව
114,කනෙන්
115,අැදලා
116,තොපේ
117,ගැනු
118,ට
119,ලබ්බ
120,පිස්සා
121,කාලකණ්ණි
122,හැත්තට
123,කාලකණ්ණි
124,හෙන
125,ගොනා
126,කාලකණ්ණි
127,ගොන්
128,පක්කු
129,හුත්ත
130,වේසි
131,බැල්ලි
132,හිවල්
133,සුනඛයෝ
134,අවජාතක
135,වල්
136,බල්ලෝ
137,තොපි
138,සක්කිලි
139,තූ
140,නොදකින්
141,කාලකණ්නියා
142,සක්කිලි
143,ලබ්බ
144,තප්පුලන්න
145,සක්කිලි
146,වැඩ
147,හුජ්ජ
148,තමුසෙ
149,තමුසෙ
150,තෝ
151,නාකිම
152,පකෝ
153,වේස
154,හුජ්ජ
155,පකෝ
156,සක්කිලි
157,නොදකින්
158,වේසි
159,වේසි
160,හැමිනෙනවා
161,කාලකන්නි
162,පිස්සු
163,හුත්තිගේ
164,අවලම්
165,හැත්ත
166,හෙන
167,චරිත
168,නොදකින්
169,වේස
170,හැත්ත
171,හමන්නලා
172,හිගාකන
173,වේසිගෙ
174,පුතාලා
175,පුක
176,දෙන
177,ජංගි
178,අඳින
179,තෝ
180,ගල්
181,රෙද්ද
182,ගොං
183,හැත්තක්
184,පර
185,වේසි
186,ටොයියන්ට
187,අවජාතක
188,බල්ලා
189,තොට
190,පුකේ
191,අමු
192,ගූ
193,කටු
194,හුත්තකටද
195,යකෝ
196,හුත්ත
197,තොට
198,හුකනාතල්
199,තෝ
200,ඇනපිය
201,ඇනපිය
202,අයින්න
203,මැරෙන්න
204,පකයෙක්
205,පර
206,සක්කිලි
207,කැරි
208,පොන්න
209,වේසිගෙ
210,පුතෙක්
211,පට්ට
212,බැල්ලි
213,තොට
214,පුකයි
215,පොන්න
216,වේසිගෙ
217,තොපි
218,පතායා
219,බඩුව
220,යකෝ
221,පුක
222,මැරියන්
223,හුත්තිගේ
224,කැරියා
225,තොපි
226,නූගත්
227,හැත්තගේ
228,අවජාතක
229,තොගෙන්
230,තොගෙ
231,වේසි
232,කැරි
233,රාක්ෂ
234,ගෑණි
235,ටහුකන
236,අවජාතක
237,නපුංසකයො
238,නැට්ටුක්කාර
239,වේසි
240,බිජ්ජ
241,බිජ්ජ
242,ඌගේ
243,ගැණි
244,නොදකින්
245,පුක
246,පොන්න
247,වසලයෙක්
248,බිජ්ජ
249,බබ්බුද
250,හුක
251,හුක
252,මොඩ
253,මුසලයෙක්
254,ගොන්
255,අලියෙක්
256,හිවලෙක්
257,හරක්
258,පඩත්තල
259,සක්කිලි
260,ඊයා
261,කක්කි
262,පාහරයෙක්
263,කාලකණ්ණි
264,නාකි
265,හැමිනෙන
266,පකිස්
267,බූරුවො
268,යකෝ
269,මුසලයා
270,ලබ්බ
271,කිම්බ
272,ඇට
273,තම්
274,ගොන්
275,පක්කු
276,හැත්ත
277,හුත්තේ
278,පුක
279,තොපි
280,අවජාතක
281,තූ
282,පොන්න
283,මෝඩ
284,සක්කිලි
285,නොදකින්
286,හැතිකරයක්
287,පිස්සා
288,පට්ට
289,බැල්ලියෝ
290,පොරගේ
291,පයිය
292,පයිය
293,තොගෙ
294,තොට
295,ගෝත
296,පක
297,තොපෙ
298,පුක
299,තෝ
300,පලකො
301,වඳ
302,වේසිගේ
303,පුතෝ
304,බූරුවා
305,පුක
306,මෝඩ
307,මූසලයෙක්
308,බැල්ලි
309,බැල්ලි
310,තෝ
311,පල
312,හැත්තක්
313,ගොන්
314,වාහේ
315,පුක
316,වේසිගෙ
317,පුතාලට
318,පකෝ
319,පොන්නය
320,හැත්ත
321,අම්ම
322,වේසිගෙපුතා
323,කැරි
324,පොන්න
325,හුකන්නල
326,හුකවන්න
327,හුකෝනව
328,පකෙක්
329,හුත්තිගෙ
330,හැත්ත
331,රෙද්ද
332,පකෝ
333,පච
334,ටහුඩු
335,කුනුහබ්බ
336,මෙලෝ
337,රහක්
338,නැනේ
339,පල
340,තොපි
341,තොපි
342,බල්ලා
343,පොන්න
344,හුත්තල
345,පොන්නයොත්
346,පොන්නයො
347,කිම්බ
348,ටිංකිම්බොයි
349,හුත්ත
350,පයියවලුයි
351,පුක
352,නාකි
353,පට්ට
354,අවජාතකයකු
355,අමන
356,තෝ
357,මැරිලා
358,යකෝ
359,තොගෙ
360,බිජ්ජ
361,යකෝ
362,තොගෙ
363,බිජ්ජ
364,සක්කිලි
365,කාලකන්නි
366,හැත්ත
367,බැල්ලි
368,පක
369,හුත්ත
370,වේසියේ
371,තෝ
372,මළ
373,යකෝ
374,තොගෙ
375,පුක
376,උන්ගේ
377,රෙද්ද
378,අස්සේ
379,නොදකින්
380,පර
381,හැත්ත
382,පයිය
383,කල්ලතොනියෝ
384,තෝ
385,උඹ
386,හුකහන්
387,හුත්තෝ
388,වාගේ
389,හරකා
390,වාගේ
391,බිජ්ජ
392,පුක
393,දෙනවා
394,ගොන්
395,පක්කු
396,කාලකණ්ණි
397,නොදකින්
398,මෝඩයෝ
399,තෝ
400,හුජ්ජ
401,පොඩි
402,මුගේ
403,යකෝ
404,ගල්
405,බූතයො
406,කුජීත
407,වේසියොන්ට
408,වේසි
409,රෙද්දෙ
410,හුජ්ජ
411,වැලක්
412,තොපිලාට
413,සාප
414,වෙනවා
415,බොලව්
416,වේස
417,කැරියන්ව
418,හුත්තෝ
419,අවජාතක
420,හැත්ත
421,යකෝ
422,පරයෝ
423,තොපි
424,තොපේ
425,තෝව
